PSI 3hr,Datetime stamp
28, 9am 27 Jan 2014
30, 10am 27 Jan 2014
31, 12pm 27 Jan 2014
32, 1pm 27 Jan 2014
32, 2pm 27 Jan 2014
32, 3pm 27 Jan 2014
32, 4pm 27 Jan 2014
32, 5pm 27 Jan 2014
32, 6pm 27 Jan 2014
32, 7pm 27 Jan 2014
32, 8pm 27 Jan 2014
32, 9pm 27 Jan 2014
31, 11pm 27 Jan 2014
28, 6am 28 Jan 2014
30, 8am 28 Jan 2014
29, 9am 28 Jan 2014
30, 10am 28 Jan 2014
33, 12pm 28 Jan 2014
34, 2pm 28 Jan 2014
35, 3pm 28 Jan 2014
35, 4pm 28 Jan 2014
36, 6pm 28 Jan 2014
35, 7pm 28 Jan 2014
34, 8pm 28 Jan 2014
34, 10pm 28 Jan 2014
31, 11pm 28 Jan 2014
23, 7am 29 Jan 2014
23, 7am 29 Jan 2014
24, 8am 29 Jan 2014
25, 9am 29 Jan 2014
27, 10am 29 Jan 2014
29, 12pm 29 Jan 2014
28, 1pm 29 Jan 2014
29, 2pm 29 Jan 2014
28, 3pm 29 Jan 2014
28, 4pm 29 Jan 2014
28, 5pm 29 Jan 2014
29, 6pm 29 Jan 2014
28, 7pm 29 Jan 2014
27, 8pm 29 Jan 2014
24, 10pm 29 Jan 2014
26, 11pm 29 Jan 2014
23, 6am 30 Jan 2014
23, 7am 30 Jan 2014
24, 8am 30 Jan 2014
25, 10am 30 Jan 2014
28, 12pm 30 Jan 2014
28, 1pm 30 Jan 2014
24, 2pm 30 Jan 2014
21, 3pm 30 Jan 2014
22, 4pm 30 Jan 2014
24, 5pm 30 Jan 2014
24, 6pm 30 Jan 2014
23, 7pm 30 Jan 2014
23, 8pm 30 Jan 2014
23, 9pm 30 Jan 2014
24, 10pm 30 Jan 2014
24, 11pm 30 Jan 2014
27, 6am 31 Jan 2014
28, 8am 31 Jan 2014
28, 9am 31 Jan 2014
27, 10am 31 Jan 2014
25, 12pm 31 Jan 2014
26, 2pm 31 Jan 2014
24, 3pm 31 Jan 2014
22, 4pm 31 Jan 2014
21, 6pm 31 Jan 2014
23, 7pm 31 Jan 2014
24, 8pm 31 Jan 2014
25, 10pm 31 Jan 2014
26, 11pm 31 Jan 2014
26, 5am 01 Feb 2014
25, 7am 01 Feb 2014
25, 8am 01 Feb 2014
24, 10am 01 Feb 2014
23, 11am 01 Feb 2014
25, 12pm 01 Feb 2014
25, 1pm 01 Feb 2014
22, 3pm 01 Feb 2014
19, 4pm 01 Feb 2014
22, 6pm 01 Feb 2014
27, 8pm 01 Feb 2014
23, 10pm 01 Feb 2014
22, 11pm 01 Feb 2014
22, 5am 02 Feb 2014
23, 7am 02 Feb 2014
21, 9am 02 Feb 2014
20, 10am 02 Feb 2014
20, 12pm 02 Feb 2014
22, 2pm 02 Feb 2014
24, 3pm 02 Feb 2014
26, 4pm 02 Feb 2014
28, 5pm 02 Feb 2014
27, 6pm 02 Feb 2014
27, 7pm 02 Feb 2014
25, 8pm 02 Feb 2014
24, 10pm 02 Feb 2014
24, 11pm 02 Feb 2014
18, 6am 03 Feb 2014
18, 7am 03 Feb 2014
17, 8am 03 Feb 2014
18, 9am 03 Feb 2014
18, 10am 03 Feb 2014
18, 11am 03 Feb 2014
19, 12pm 03 Feb 2014
21, 1pm 03 Feb 2014
23, 3pm 03 Feb 2014
23, 3pm 03 Feb 2014
24, 4pm 03 Feb 2014
23, 5pm 03 Feb 2014
24, 6pm 03 Feb 2014
25, 7pm 03 Feb 2014
25, 9pm 03 Feb 2014
23, 10pm 03 Feb 2014
22, 11pm 03 Feb 2014
26, 6am 04 Feb 2014
26, 8am 04 Feb 2014
26, 10am 04 Feb 2014
28, 11am 04 Feb 2014
32, 12pm 04 Feb 2014
35, 1pm 04 Feb 2014
37, 2pm 04 Feb 2014
38, 3pm 04 Feb 2014
39, 4pm 04 Feb 2014
41, 5pm 04 Feb 2014
41, 7pm 04 Feb 2014
31, 9pm 04 Feb 2014
28, 10pm 04 Feb 2014
26, 11pm 04 Feb 2014
36, 6am 05 Feb 2014
38, 7am 05 Feb 2014
