PSI 3hr,Datetime,DayOfWeek,Period,DayOfMonth,Month
36,  6pm 28 Jan 2014,Mon,afternoon,28,Jan
35,  7pm 28 Jan 2014,Mon,evening,28,Jan
34,  8pm 28 Jan 2014,Mon,evening,28,Jan
34,  10pm 28 Jan 2014,Mon,evening,28,Jan
31,  11pm 28 Jan 2014,Mon,evening,28,Jan
23,  7am 29 Jan 2014,Tues,morning,29,Jan
23,  7am 29 Jan 2014,Tues,morning,29,Jan
24,  8am 29 Jan 2014,Tues,morning,29,Jan
25,  9am 29 Jan 2014,Tues,morning,29,Jan
27,  10am 29 Jan 2014,Tues,morning,29,Jan
29,  12pm 29 Jan 2014,Tues,afternoon,29,Jan
28,  1pm 29 Jan 2014,Tues,afternoon,29,Jan
29,  2pm 29 Jan 2014,Tues,afternoon,29,Jan
28,  3pm 29 Jan 2014,Tues,afternoon,29,Jan
28,  4pm 29 Jan 2014,Tues,afternoon,29,Jan
28,  5pm 29 Jan 2014,Tues,afternoon,29,Jan
29,  6pm 29 Jan 2014,Tues,afternoon,29,Jan
28,  7pm 29 Jan 2014,Tues,evening,29,Jan
27,  8pm 29 Jan 2014,Tues,evening,29,Jan
24,  10pm 29 Jan 2014,Tues,evening,29,Jan
26,  11pm 29 Jan 2014,Tues,evening,29,Jan
23,  6am 30 Jan 2014,Wed,morning,30,Jan
23,  7am 30 Jan 2014,Wed,morning,30,Jan
24,  8am 30 Jan 2014,Wed,morning,30,Jan
25,  10am 30 Jan 2014,Wed,morning,30,Jan
28,  12pm 30 Jan 2014,Wed,afternoon,30,Jan
28,  1pm 30 Jan 2014,Wed,afternoon,30,Jan
24,  2pm 30 Jan 2014,Wed,afternoon,30,Jan
21,  3pm 30 Jan 2014,Wed,afternoon,30,Jan
22,  4pm 30 Jan 2014,Wed,afternoon,30,Jan
24,  5pm 30 Jan 2014,Wed,afternoon,30,Jan
24,  6pm 30 Jan 2014,Wed,afternoon,30,Jan
23,  7pm 30 Jan 2014,Wed,evening,30,Jan
23,  8pm 30 Jan 2014,Wed,evening,30,Jan
23,  9pm 30 Jan 2014,Wed,evening,30,Jan
24,  10pm 30 Jan 2014,Wed,evening,30,Jan
24,  11pm 30 Jan 2014,Wed,evening,30,Jan
27,  6am 31 Jan 2014,Thurs,morning,31,Jan
28,  8am 31 Jan 2014,Thurs,morning,31,Jan
28,  9am 31 Jan 2014,Thurs,morning,31,Jan
27,  10am 31 Jan 2014,Thurs,morning,31,Jan
25,  12pm 31 Jan 2014,Thurs,afternoon,31,Jan
26,  2pm 31 Jan 2014,Thurs,afternoon,31,Jan
24,  3pm 31 Jan 2014,Thurs,afternoon,31,Jan
22,  4pm 31 Jan 2014,Thurs,afternoon,31,Jan
21,  6pm 31 Jan 2014,Thurs,afternoon,31,Jan
